code,date,buy_at,max,max_idx,idx,is_selled,sell_at,sell_date,r,open,close,f1_open,f1_close,f2_open,f2_close,f3_open,f3_close,r2,is_cut,r3,is_cut2
000333.SZ,2018-3-8,255.60205,268.7969,1067,1065,TRUE,253.06624,2018-3-22,-0.99%,244.42725,254.31264,255.60205,257.49316,262.09204,261.01752,260.88858,262.43588,2.07%,0,2.54%,0
300770.SZ,2020-4-7,161.6,169.9,237,234,TRUE,160.09,2020-4-13,-0.93%,153.66,163.99,161.6,165.98,165.98,168.57,167.89,160.04,3.89%,0,2.71%,0
600009.SH,2020-2-4,209.2208,225.70302,2457,2445,TRUE,207.30496,2020-2-25,-0.92%,197.665,207.39618,209.2208,213.7823,216.27592,217.79642,216.36714,218.0701,3.42%,0,3.37%,0
600276.SH,2018-8-9,2470.994,2632.0413,2087,2084,TRUE,2450.7246,2018-8-16,-0.82%,2310.683,2470.994,2470.994,2580.8157,2575.2876,2592.6086,2592.6086,2620.617,4.92%,0,4.22%,0
300413.SZ,2019-5-10,41.570797,44.274918,789,786,TRUE,41.369,2019-5-21,-0.49%,39.653698,41.520348,41.570797,41.853317,42.983395,41.671696,41.45981,43.60898,-0.27%,0,3.40%,0
002371.SZ,2019-6-26,321.55502,343.5105,2177,2174,TRUE,320.08502,2019-7-4,-0.46%,306.28577,323.21475,321.55502,331.70288,331.70288,328.3835,339.053,334.88007,5.44%,0,3.16%,0
603501.SH,2020-4-2,164.35478,173.69199,542,540,TRUE,163.72227,2020-4-10,-0.38%,153.2104,166.82463,164.35478,164.15399,169.66595,166.6439,164.89696,168.26035,0.33%,0,3.23%,0
601888.SH,2018-10-31,119.14055,125.522316,2080,2078,TRUE,118.9034,2018-11-14,-0.20%,109.95599,115.73408,119.14055,114.11707,117.73916,125.522316,125.457634,123.90532,5.30%,0,-1.18%,1
603986.SH,2018-6-29,303.63058,327.831,254,252,TRUE,303.03964,2018-7-5,-0.19%,281.4,305.37524,303.63058,302.58942,301.66077,318.43225,315.5338,307.48575,3.92%,0,-0.65%,0
000596.SZ,2018-8-21,262.1449,277.137,2094,2089,TRUE,261.7442,2018-9-3,-0.15%,246.7187,263.84778,262.1449,255.7674,257.103,258.3718,257.03622,249.95753,-1.95%,0,-1.92%,0
603288.SH,2018-10-31,251.14772,266.7623,1156,1154,TRUE,251.53421,2018-11-7,0.15%,231.8227,249.56305,251.14772,251.99799,259.3415,263.593,260.5783,253.89186,3.75%,0,3.26%,0
000568.SZ,2018-11-2,1271.28,1327.8519,2119,2108,TRUE,1276.0474,2018-11-30,0.38%,1255.389,1303.062,1271.28,1258.2494,1254.7533,1234.7306,1240.1337,1236.9553,-2.45%,1,-1.30%,0
603127.SH,2020-3-25,138.31999,146.30304,628,626,TRUE,138.87328,2020-3-31,0.40%,133.08359,139.9008,138.31999,142.31151,144.08992,142.82527,142.66719,138.30023,3.14%,0,4.17%,0
603068.SH,2020-5-6,76.642975,81.452576,258,256,TRUE,77.0538,2020-5-19,0.54%,72.594894,76.653,76.642975,75.44058,76.352394,78.62694,78.84738,78.79728,2.88%,0,-0.38%,0
600570.SH,2018-8-9,699.20953,746.6451,2026,2024,TRUE,705.0852,2018-8-20,0.84%,664.6718,701.7891,699.20953,716.40674,704.08203,742.77576,738.3331,730.4511,5.60%,0,0.70%,0
603019.SH,2018-6-29,92.5344,99.4896,878,876,TRUE,93.36096,2018-7-6,0.89%,86.486404,92.47392,92.5344,92.87712,92.3328,96.768005,95.78016,94.30848,3.51%,0,-0.22%,0
300017.SZ,2016-3-17,427.504,456.379,1475,1468,TRUE,431.43097,2016-3-30,0.92%,408.17697,426.88797,427.504,436.35898,440.44,441.36398,439.66998,431.19998,2.85%,0,3.03%,0
000963.SZ,2018-8-9,433.92392,464.38547,2046,2044,TRUE,439.0349,2018-8-17,1.18%,411.9466,433.92392,433.92392,454.67456,449.25693,458.96783,458.96783,459.37668,5.77%,0,3.53%,0
600486.SH,2018-11-2,154.87381,158.51352,2141,2138,TRUE,156.7308,2018-11-20,1.20%,143.10042,155.17091,154.87381,155.2452,155.988,154.53954,155.13377,155.57945,0.17%,0,0.72%,0
300033.SZ,2020-4-2,971.6783,1077.2842,2474,2470,TRUE,983.335,2020-4-13,1.20%,935.22955,983.161,971.6783,956.54205,991.25104,988.11945,974.288,979.3335,0.27%,0,2.01%,0
002095.SZ,2016-2-15,267.42398,293.64032,1484,1478,TRUE,270.93118,2016-2-25,1.31%,245.504,268.78302,267.42398,276.54272,275.3152,276.63037,281.97888,269.7475,5.44%,0,2.95%,0
300601.SZ,2020-1-9,134.4655,162.778,724,716,TRUE,136.655,2020-2-3,1.63%,125.934,132.88,134.4655,134.7222,135.5678,133.6501,134.29941,134.541,-0.12%,0,0.82%,0
002371.SZ,2018-10-19,194.8962,209.1222,2009,2008,TRUE,198.4527,2018-10-24,1.82%,180.196,192.52519,194.8962,206.65637,206.60895,197.88367,198.4527,198.6898,1.82%,0,6.01%,0
600276.SH,2019-1-4,1990.062,2228.1323,2193,2182,TRUE,2027.2834,2019-1-29,1.87%,1853.7059,2002.9606,1990.062,1974.2152,1966.1075,1989.325,2008.4885,2046.447,0.93%,0,-1.20%,0
603501.SH,2020-3-30,160.62996,173.69199,542,537,TRUE,163.72227,2020-4-10,1.93%,145.59003,158.63199,160.62996,156.52359,153.42123,156.60391,153.2104,166.82463,-4.62%,1,-4.49%,0
600276.SH,2018-10-31,2298.153,2500.476,2139,2137,TRUE,2343.8508,2018-11-15,1.99%,2170.6418,2269.408,2298.153,2303.3125,2413.8716,2491.2627,2455.147,2431.9294,6.83%,0,5.04%,0
603019.SH,2018-11-12,85.0752,92.51424,970,966,TRUE,86.889595,2018-11-22,2.13%,82.2528,86.688,85.0752,84.95424,84.91392,85.518715,85.05504,89.8128,-0.02%,0,-0.19%,0
002281.SZ,2016-2-2,54.872707,61.03157,1419,1412,TRUE,56.070847,2016-2-25,2.18%,52.4449,55.976257,54.872707,56.1234,55.902687,56.754,56.4387,54.57843,2.85%,0,1.88%,0
601888.SH,2018-8-21,132.27058,143.50334,2040,2033,TRUE,135.1812,2018-9-4,2.20%,124.8324,132.33528,132.27058,129.55403,129.20908,130.13615,129.36,128.7132,-2.20%,0,-2.31%,0
600276.SH,2020-2-3,3789.862,4153.5894,2448,2440,TRUE,3875.4712,2020-2-25,2.26%,3574.287,3790.749,3789.862,3847.9697,3859.0588,3943.781,3967.7334,3996.1218,4.69%,0,1.83%,0
300379.SZ,2016-1-12,188.56474,211.94951,371,367,TRUE,192.86401,2016-1-21,2.28%,170.765,190.53355,188.56474,180.97073,173.1758,199.07181,204.89792,200.19685,8.66%,0,-8.16%,1
000418.SZ,2018-4-25,183.40178,201.91411,1993,1986,TRUE,188.96112,2018-5-18,3.03%,178.91481,185.71582,183.40178,185.60294,182.49873,180.608,180.608,194.37935,-1.52%,0,-0.49%,0
300725.SZ,2020-4-9,157.63858,161.26088,582,581,TRUE,162.51399,2020-4-14,3.09%,147.45697,158.01059,157.63858,153.68341,153.37013,150.70726,162.51399,157.03159,3.09%,1,-2.71%,0
601888.SH,2018-9-7,132.80959,147.7938,2058,2046,TRUE,137.33719,2018-10-9,3.41%,127.743,133.65044,132.80959,129.48935,130.00679,132.42151,132.42151,129.01503,-0.29%,0,-2.11%,0
603156.SH,2019-2-13,63.7477,68.9281,243,239,TRUE,66.021324,2019-3-4,3.57%,59.934353,63.77648,63.7477,63.934772,64.3233,66.22278,67.388374,67.489105,5.71%,0,0.90%,0
603160.SH,2020-4-28,230.36066,255.76532,868,862,TRUE,239.99165,2020-5-15,4.18%,239.34076,255.15512,230.36066,229.6386,229.53688,240.26624,236.37112,246.11398,2.61%,0,-0.36%,0
002007.SZ,2018-10-19,749.736,819.50305,2120,2118,TRUE,781.1832,2018-10-26,4.19%,660.1842,737.0321,749.736,789.5137,785.76495,796.80273,793.4706,779.9337,5.83%,0,4.81%,0
600309.SH,2019-5-21,1409.0028,1505.0247,2158,2138,TRUE,1471.432,2019-6-20,4.43%,1371.8224,1428.2948,1409.0028,1434.2576,1425.4886,1406.8984,1405.4954,1407.9507,-0.25%,0,1.17%,0
