date,code,qfq_open,qfq_high,qfq_low,qfq_close,qfq_avg,f1mv_open,f1mv_high,f1mv_low,f1mv_close,f1mv_qfq_open,f1mv_qfq_high,f1mv_qfq_low,f1mv_qfq_close,f1mv_qfq_avg,f20max_f1mv_high,f20min_f1mv_low,f5max_f1mv_high,f5min_f1mv_low,curr_type,delist_date,enname,fullname,list_date,list_status,name,symbol
2018-07-19,000021.SZ,6.91,6.94,6.77,6.81,6.828634026377092,94.20953999999999,96.1463,92.96448,95.59294,6.81,6.95,6.72,6.91,6.851438656343891,100.01982000000001,85.49412,100.01982000000001,92.96448,CNY,,"Shenzhen Kaifa Technology Co., Ltd.",深圳长城开发科技股份有限公司,19940202,L,深科技,000021
2018-07-19,000025.SZ,32.0,32.06,31.32,31.42,31.60908939909289,59.16386000000001,59.879400000000004,59.16386000000001,59.78525,31.42,31.8,31.42,31.75,31.68550725851012,63.89019,53.6655,63.40061,59.16386000000001,CNY,,"Shenzhen Tellus Holding Co.,Ltd",深圳市特力(集团)股份有限公司,19930621,L,特力A,000025
2018-07-19,000027.SZ,4.87,4.88,4.8,4.82,4.8405050567852115,64.70368,66.85152000000001,64.4352,66.85152000000001,4.82,4.98,4.8,4.98,4.919666802180664,69.8048,64.4352,69.8048,64.4352,CNY,,"Shenzhen Energy Group Co., Ltd.",深圳能源集团股份有限公司,19930903,L,深圳能源,000027
2018-07-19,000028.SZ,46.29,46.94,45.81,45.82999999999999,46.26306550341595,180.1696,180.1696,175.71903999999998,177.67103999999998,46.15,46.15,45.01,45.51,45.36638232821219,182.19968,154.71552,182.19968,171.22943999999998,CNY,,China National Accord Medicines Corporation Ltd.,国药集团一致药业股份有限公司,19930809,L,国药一致,000028
2018-07-19,000030.SZ,5.200248292985724,5.248913718187462,5.137678460583488,5.21415270018622,5.197677574931497,16.8448,16.912000000000003,16.620800000000003,16.8,5.228057107386716,5.248913718187462,5.158535071384234,5.21415270018622,5.211239657802805,17.203200000000002,14.6601,17.203200000000002,16.486400000000003,CNY,,FAWER Automotive Parts Limited Company,富奥汽车零部件股份有限公司,19930929,L,富奥股份,000030
2018-07-19,000031.SZ,5.8,5.84,5.699999999999999,5.699999999999999,5.751055083571707,80.37722000000001,81.63749,79.25698,81.2174,5.74,5.83,5.66,5.8,5.754170963477132,87.93884,78.55683,87.93884,79.25698,CNY,,"COFCO Property (Group) Co.,Ltd.",中粮地产(集团)股份有限公司,19931008,L,中粮地产,000031
2018-07-20,000001.SZ,8.73,9.2,8.61,9.11,8.98856667138276,976.60024,1020.8929499999999,972.279,1017.65202,9.04,9.45,9.0,9.42,9.238585997081218,1036.01729,933.3878400000001,1036.01729,972.279,CNY,,"Ping An Bank Co., Ltd.",平安银行股份有限公司,19910403,L,平安银行,000001
2018-07-20,000002.SZ,21.788151512602685,22.606169568508705,21.191479518883,22.26933860431211,21.93727726639466,3152.4080000000004,3281.4700000000003,3144.17,3260.8750000000005,22.09611125129672,23.000742983710435,22.038368800291586,22.85638685619761,22.618149698321805,3444.8570000000004,2817.396,3444.8570000000004,3144.17,CNY,,"China Vanke Co.,Ltd.",万科企业股份有限公司,19910129,L,万科A,000002
2018-07-20,000006.SZ,5.39,5.53,5.33,5.51,5.4455134369937905,187.90074,192.35012,185.50492,191.66559999999998,5.49,5.62,5.42,5.6,5.562358358552822,214.59702,182.42458,212.88572,185.50492,CNY,,"Shenzhen Zhenye(Group) Co.,Ltd.",深圳市振业(集团)股份有限公司,19920427,L,深振业A,000006
2018-07-20,000008.SZ,,,,,,,,,,,,,,,,,,,CNY,,"China High Speed Railway Technology Co., Ltd.",神州高铁技术股份有限公司,19920507,L,神州高铁,000008
2018-07-20,000009.SZ,4.960388375882673,5.069955187398153,4.890664041281912,5.0201520912547535,4.979130275266772,36.895050000000005,37.5552,36.675,37.2618,5.010191472026073,5.099837045084193,4.980309614340032,5.059994568169473,5.053153071530702,38.142,33.65348,38.142,36.675,CNY,,"China Baoan Group Co.,Ltd.",中国宝安集团股份有限公司,19910625,L,中国宝安,000009
2018-07-20,000011.SZ,9.99,10.16,9.81,10.08,9.9949301423256,35.12506,36.00055999999999,34.94996,35.96554,10.03,10.28,9.98,10.27,10.171039398745584,44.72053999999999,34.94996,40.65821999999999,34.94996,CNY,,Shenzhen Properties & Resources Development (Group) Ltd.,深圳市物业发展(集团)股份有限公司,19920330,L,深物业A,000011
2018-07-20,000012.SZ,4.77,4.87,4.77,4.85,4.836871109037379,115.62354,118.23516000000001,115.14869999999999,117.76032000000001,4.87,4.98,4.85,4.96,4.92181267397489,126.30744000000001,113.9616,126.30744000000001,115.14869999999999,CNY,,"CSG Holding Co.,Ltd.",中国南玻集团股份有限公司,19920228,L,南玻A,000012
2018-07-20,000016.SZ,4.83,4.89,4.63,4.83,4.764584622140698,101.6352,102.90564,100.78823999999999,102.69389999999999,4.8,4.86,4.76,4.85,4.809820109228729,106.92869999999999,86.81339999999999,106.92869999999999,100.78823999999999,CNY,,"Konka Group Co.,Ltd",康佳集团股份有限公司,19920327,L,深康佳A,000016
2018-07-20,000021.SZ,6.81,6.95,6.72,6.91,6.851438656343891,95.4546,97.80638,94.90124,97.11467999999999,6.9,7.07,6.86,7.02,6.988107040089197,100.01982000000001,85.49412,100.01982000000001,94.90124,CNY,,"Shenzhen Kaifa Technology Co., Ltd.",深圳长城开发科技股份有限公司,19940202,L,深科技,000021
