,上证综指,深证成指,中小板指,创业板指,上证50,沪深300,中证500,mean,max,argmax,min,argmin
8月11-20日,-0.16072574198077869,-0.15119966708521992,-0.1510432010988452,-0.00344469832369612,-0.19466334619805548,-0.19574797097582378,-0.16718251727768635,-0.14628673470572934,-0.00344469832369612,创业板指,-0.19574797097582378,沪深300
8月21-30日,-0.11451533616125144,-0.19635118958862036,-0.008636101382393032,-0.19472912086488803,-0.05918234380868244,-0.07059633608449231,-0.040396353071354335,-0.09777239728024027,-0.008636101382393032,中小板指,-0.19635118958862036,深证成指
9月1-10日,0.05539632022203347,0.004958259524870118,0.05118859098532727,0.30506228768379134,0.07970928249202318,0.15192187080762085,0.21276265868590888,0.1229998957716536,0.30506228768379134,创业板指,0.004958259524870118,深证成指
9月11-20日,-0.01381342862934564,-0.08355352865846145,-0.12297914139487721,-0.3452231455232469,-0.002093708278437319,-0.09296559998612271,-0.02079941167649844,-0.09734685202099855,-0.002093708278437319,上证50,-0.3452231455232469,创业板指
9月21-30日,-0.043664453937171534,0.019923478268741596,0.1504231893492685,0.05412746137757738,0.03212958891277674,0.07075114665337372,-0.08105354272191684,0.028948123986092787,0.1504231893492685,中小板指,-0.08105354272191684,中证500
10月1-10日,0.06654969678524165,0.06793966647579085,0.16337287739561335,0.799170555632041,0.006618781516164213,0.015573081122921608,0.1907408149518265,0.18713792483994274,0.799170555632041,创业板指,0.006618781516164213,上证50
10月11-20日,-0.0038713875444871555,-0.01979190605356875,-0.08811274326164756,0.04620766373409795,0.19103397938734581,0.18364170629702148,-0.0189941283271785,0.0414447406045119,0.19103397938734581,上证50,-0.08811274326164756,中小板指
10月21-30日,-0.05088566631109061,-0.03615908897718833,-0.16068708826732622,0.0026772638551225214,-0.10541185627952404,-0.13220322205942112,-0.28722438120762134,-0.10998486274957846,0.0026772638551225214,创业板指,-0.28722438120762134,中证500
11月1-10日,0.1901197175429769,0.16755410226501108,0.20574343188094366,0.3540034913514314,0.23875811330741645,0.19857791970887423,0.22383614424289594,0.2255132743285071,0.3540034913514314,创业板指,0.16755410226501108,深证成指
11月11-20日,0.1256931680652261,0.08842156575450846,0.15901488199062808,0.08736128308049387,0.07159683672922336,0.09828793653055545,0.27213375832895675,0.12892991863994172,0.27213375832895675,中证500,0.07159683672922336,上证50
11月21-30日,-0.13713354053736113,-0.05355280741249926,-0.1317293208515354,-0.12757876524480985,-0.11101493108727108,-0.09696027881486592,-0.1761195371851603,-0.11915559730478613,-0.05355280741249926,深证成指,-0.1761195371851603,中证500
12月1-10日,0.2564647965355045,0.314495076085489,0.29003053024198056,-0.16785096418293924,0.5075788976443155,0.4690925064564203,0.2665186825423938,0.2766185036175949,0.5075788976443155,上证50,-0.16785096418293924,创业板指
12月11-20日,-0.049346510057732274,-0.056758236016098376,0.010617225535993527,0.03712138705788298,-0.045586841529022475,0.00786338597064242,0.052517446683396495,-0.006224591764991102,0.052517446683396495,中证500,-0.056758236016098376,深证成指
12月21-30日,0.11259479159874665,0.02793448286271621,-0.007365342814791524,-0.28867146081789147,0.13481125019416831,0.07456506983188882,-0.0783603120075517,-0.0034987887361021025,0.13481125019416831,上证50,-0.28867146081789147,创业板指
mean,0.03384293516208771,0.04343309213502191,0.07316892942025272,0.06786712240972109,0.044816243376587565,0.061449633654025386,0.08693860402928341,,,,,
max,0.4442550874594341,0.5208872276859746,0.5977200281457362,0.799170555632041,0.5075788976443155,0.5895759841450033,0.6482877818006546,,,,,
argmax,4月1-10日,4月1-10日,2月11-20日,10月1-10日,12月1-10日,4月1-10日,2月11-20日,,,,,
min,-0.24897805555837493,-0.27817243881980264,-0.32774415569536586,-0.6102970871375735,-0.2453581123888907,-0.2777013839701949,-0.3666097936656184,,,,,
argmin,6月11-20日,6月11-20日,6月11-20日,6月11-20日,6月11-20日,6月11-20日,6月11-20日,,,,,
